HomeTeam,AwayTeam,Date,FTHG,FTAG,FTR,Year,FTR1,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
Charlton,Man City,19-08-2000,4,0,H,2000,H,0,0,W,W,W,W,W,W,0,0,0,0
Chelsea,West Ham,19-08-2000,4,2,H,2000,H,0,0,W,W,W,W,W,W,0,0,0,-4
Coventry,Middlesbrough,19-08-2000,1,3,NH,2000,A,0,0,W,W,W,W,W,W,0,0,0,2
Derby,Southampton,19-08-2000,2,2,NH,2000,D,0,0,W,W,W,W,W,W,0,0,0,1
Leeds,Everton,19-08-2000,2,0,H,2000,H,0,0,W,W,W,W,W,W,0,0,0,-10
Leicester,Aston Villa,19-08-2000,0,0,NH,2000,D,0,0,W,W,W,W,W,W,0,0,0,2
Liverpool,Bradford,19-08-2000,1,0,H,2000,H,0,0,W,W,W,W,W,W,0,0,0,-13
Sunderland,Arsenal,19-08-2000,1,0,H,2000,H,0,0,W,W,W,W,W,W,0,0,0,5
Tottenham,Ipswich,19-08-2000,3,1,H,2000,H,0,0,W,W,W,W,W,W,0,0,0,-8
Man United,Newcastle,20-08-2000,2,0,H,2000,H,0,0,W,W,W,W,W,W,0,0,0,-10
Arsenal,Liverpool,21-08-2000,2,0,H,2000,H,0,1.5,L,W,W,W,W,W,-0.5,0.5,-1.5,-2
Bradford,Chelsea,22-08-2000,2,0,H,2000,H,0,1.5,L,W,W,W,W,W,-0.5,1,-1.5,12
Ipswich,Man United,22-08-2000,1,1,NH,2000,D,0,1.5,L,W,W,W,W,W,-1,1,-1.5,17
Middlesbrough,Tottenham,22-08-2000,1,1,NH,2000,D,1.5,1.5,W,W,W,W,W,W,1,1,0,2
Everton,Charlton,23-08-2000,3,0,H,2000,H,0,1.5,L,W,W,W,W,W,-1,2,-1.5,-5
Man City,Sunderland,23-08-2000,4,2,H,2000,H,0,1.5,L,W,W,W,W,W,-2,0.5,-1.5,11
Newcastle,Derby,23-08-2000,3,2,H,2000,H,0,0.5,L,W,W,D,W,W,-1,0,-0.5,-5
Southampton,Coventry,23-08-2000,1,2,NH,2000,A,0.5,0,D,W,W,L,W,W,0,-1,0.5,1
West Ham,Leicester,23-08-2000,0,1,NH,2000,A,0,0.5,L,W,W,D,W,W,-1,0,-0.5,1
Arsenal,Charlton,26-08-2000,5,3,H,2000,H,0,1.5,L,W,W,W,W,W,-0.5,2,-1.5,-16
Bradford,Leicester,26-08-2000,0,0,NH,2000,D,1,1.333333333,W,L,W,W,D,W,0.333333333,0.333333333,-0.333333333,9
Everton,Derby,26-08-2000,2,2,NH,2000,D,1,0.333333333,W,L,W,L,D,W,0.333333333,-0.333333333,0.666666667,-3
Ipswich,Sunderland,26-08-2000,1,0,H,2000,H,0.333333333,1,D,L,W,L,W,W,-0.666666667,-0.333333333,-0.666666667,11
Man City,Coventry,26-08-2000,1,2,NH,2000,A,1,1,W,L,W,W,L,W,-0.666666667,-0.333333333,0,4
Middlesbrough,Leeds,26-08-2000,1,2,NH,2000,A,1.333333333,2,D,W,W,W,W,W,0.666666667,1,-0.666666667,9
Newcastle,Tottenham,26-08-2000,2,0,H,2000,H,1,1.333333333,W,L,W,D,W,W,-0.333333333,0.666666667,-0.333333333,1
Southampton,Liverpool,26-08-2000,3,3,NH,2000,D,0.333333333,1,L,D,W,L,W,W,-0.333333333,-0.333333333,-0.666666667,11
West Ham,Man United,26-08-2000,2,2,NH,2000,D,0,1.333333333,L,L,W,D,W,W,-1,0.666666667,-1.333333333,8
Aston Villa,Chelsea,27-08-2000,1,1,NH,2000,D,0.666666667,1,D,D,W,L,W,W,0,0,-0.333333333,1
Leeds,Man City,05-09-2000,1,2,NH,2000,A,2,1,W,W,W,W,L,W,1,-0.666666667,1,-15
Man United,Bradford,05-09-2000,6,0,H,2000,H,1.25,1,D,D,W,D,W,L,0.5,0.25,0.25,-16
Sunderland,West Ham,05-09-2000,1,1,NH,2000,D,0.75,0.25,L,L,W,D,L,L,-0.5,-0.75,0.5,-2
Tottenham,Everton,05-09-2000,3,2,H,2000,H,1,1,L,D,W,D,W,L,0,0.25,0,-3
Charlton,Southampton,06-09-2000,1,1,NH,2000,D,0.75,0.5,L,L,W,D,L,D,-0.25,-0.25,0.25,3
Chelsea,Arsenal,06-09-2000,2,2,NH,2000,D,1,1.5,D,L,W,W,W,L,0,0.75,-0.5,3
Coventry,Newcastle,06-09-2000,0,2,NH,2000,A,1.5,1.5,W,W,L,W,W,L,0,0.25,0,3
Derby,Middlesbrough,06-09-2000,3,3,NH,2000,D,0.5,1,D,L,D,L,D,W,-0.25,0.25,-0.5,4
Leicester,Ipswich,06-09-2000,2,1,H,2000,H,1.25,1,D,W,D,W,D,L,0.25,-0.25,0.25,-10
Liverpool,Aston Villa,06-09-2000,3,1,H,2000,H,1,0.5,D,L,W,L,D,D,-0.25,-0.5,0.5,-2
Bradford,Arsenal,09-09-2000,1,1,NH,2000,D,1,1.5,D,W,L,W,W,L,0.25,0.75,-0.5,15
Coventry,Leeds,09-09-2000,0,0,NH,2000,D,1.2,1.4,L,W,W,D,L,W,-0.4,0.4,-0.2,11
Ipswich,Aston Villa,09-09-2000,1,2,NH,2000,A,0.8,1,L,W,D,W,L,D,-0.4,-0.2,-0.2,12
Leicester,Southampton,09-09-2000,1,0,H,2000,H,1.6,0.6,W,D,W,D,D,L,0.4,-0.2,1,-7
Liverpool,Man City,09-09-2000,3,2,H,2000,H,1.4,1.2,W,D,L,W,L,W,0.2,-0.4,0.2,-14
Man United,Sunderland,09-09-2000,3,0,H,2000,H,1.6,0.8,W,D,D,D,L,L,1.6,-0.4,0.8,-6
Middlesbrough,Everton,09-09-2000,1,2,NH,2000,A,1,0.8,D,L,D,L,D,W,0.2,0,0.2,-1
Newcastle,Chelsea,09-09-2000,0,0,NH,2000,D,1.8,1,W,W,W,D,D,L,0.6,0,0.8,6
Derby,Charlton,10-09-2000,2,2,NH,2000,D,0.6,0.8,D,D,L,D,L,L,-0.2,-0.2,-0.2,-2
Tottenham,West Ham,11-09-2000,1,0,H,2000,H,1.4,0.4,W,L,D,D,D,L,0.2,-0.6,1,1
Arsenal,Coventry,16-09-2000,2,1,H,2000,H,1.4,1.2,D,W,W,L,W,W,0.6,-0.4,0.2,-12
Aston Villa,Bradford,16-09-2000,2,0,H,2000,H,1.333333333,0.833333333,W,W,L,D,L,D,0.166666667,-0.833333333,0.5,-11
Charlton,Tottenham,16-09-2000,1,0,H,2000,H,0.833333333,1.666666667,D,D,L,W,W,L,-0.166666667,0.333333333,-0.833333333,8
Everton,Man United,16-09-2000,1,3,NH,2000,A,1.166666667,1.833333333,W,L,D,W,W,D,0.166666667,1.833333333,-0.666666667,12
Leeds,Ipswich,16-09-2000,1,2,NH,2000,A,1.166666667,0.666666667,L,D,L,L,L,W,0.166666667,-0.5,0.5,-15
Southampton,Newcastle,16-09-2000,2,0,H,2000,H,0.5,1.666666667,L,D,D,D,W,W,-0.333333333,0.5,-1.166666667,4
Sunderland,Derby,16-09-2000,2,1,H,2000,H,0.666666667,0.666666667,L,D,L,D,D,D,-0.833333333,-0.166666667,0,-9
Chelsea,Leicester,17-09-2000,0,2,NH,2000,A,1,1.833333333,D,D,D,W,W,D,0,0.5,-0.833333333,-3
Man City,Middlesbrough,17-09-2000,1,1,NH,2000,D,1,0.833333333,L,W,L,L,D,L,-0.5,0,0.166666667,6
West Ham,Liverpool,17-09-2000,1,1,NH,2000,D,0.333333333,1.666666667,L,D,D,W,W,D,-0.666666667,0.333333333,-1.333333333,5
Bradford,Southampton,23-09-2000,0,1,NH,2000,A,0.833333333,0.5,D,L,D,L,D,D,-0.833333333,-0.333333333,0.333333333,2
Coventry,West Ham,23-09-2000,0,3,NH,2000,A,1,0.428571429,L,D,L,D,L,D,-0.428571429,-0.571428571,0.571428571,5
Derby,Leeds,23-09-2000,1,1,NH,2000,D,0.571428571,1.142857143,L,D,D,D,L,D,-0.285714286,0.142857143,-0.285714286,13
Ipswich,Arsenal,23-09-2000,1,1,NH,2000,D,1,1.571428571,W,L,L,W,D,D,-0.285714286,0.571428571,-0.571428571,16
Liverpool,Sunderland,23-09-2000,1,1,NH,2000,D,1.571428571,1,D,W,W,W,L,D,0.285714286,-0.571428571,0.571428571,-3
Man United,Chelsea,23-09-2000,3,3,NH,2000,D,2,0.857142857,W,W,W,L,D,D,1.857142857,-0.285714286,1.142857143,-4
Middlesbrough,Aston Villa,23-09-2000,1,1,NH,2000,D,0.857142857,1.285714286,D,L,D,D,W,W,0,0.142857143,-0.714285714,6
Newcastle,Charlton,23-09-2000,0,1,NH,2000,A,1.428571429,1.142857143,L,D,W,W,D,D,0.142857143,0,0.714285714,-7
Tottenham,Man City,23-09-2000,0,0,NH,2000,D,1.428571429,1,L,W,W,D,L,W,0.142857143,-0.428571429,0,-8
Leicester,Everton,24-09-2000,1,1,NH,2000,D,2,1,W,W,W,L,W,L,0.714285714,-0.142857143,0.857142857,-5
Aston Villa,Derby,30-09-2000,4,1,H,2000,H,1.285714286,0.571428571,D,W,W,L,D,D,0.142857143,-0.285714286,0.714285714,-10
Charlton,Coventry,30-09-2000,2,2,NH,2000,D,1.375,0.875,W,W,D,L,L,D,0.125,-0.75,0.5,4
Everton,Ipswich,30-09-2000,0,3,NH,2000,A,1,1,D,L,W,D,W,L,-0.125,-0.25,-0.25,-5
Leeds,Tottenham,30-09-2000,4,3,H,2000,H,1.375,1.375,W,D,L,D,L,W,0.25,0.125,-0.25,-7
Man City,Newcastle,30-09-2000,0,1,NH,2000,A,1,1.25,D,D,L,L,L,D,-0.375,0,-0.25,7
Southampton,Middlesbrough,30-09-2000,1,3,NH,2000,A,1.125,0.875,W,W,L,D,D,L,0.125,0,0.625,3
West Ham,Bradford,30-09-2000,1,1,NH,2000,D,0.75,0.625,W,D,L,L,L,D,-0.125,-1,0.5,-8
Arsenal,Man United,01-10-2000,1,0,H,2000,H,1.5,1.875,D,W,D,D,W,W,0.5,1.625,-0.25,1
Chelsea,Liverpool,01-10-2000,3,0,H,2000,H,0.875,1.5,D,L,D,D,D,W,-0.25,0.25,-0.625,1
Sunderland,Leicester,01-10-2000,0,0,NH,2000,D,1,1.875,D,W,L,D,W,W,-0.5,0.625,-0.75,-1
Arsenal,Aston Villa,14-10-2000,1,0,H,2000,H,1.5,1.5,D,W,D,W,D,W,0.5,0.5,-0.125,-4
Coventry,Tottenham,14-10-2000,2,1,H,2000,H,0.888888889,1.222222222,D,L,L,L,D,L,-0.666666667,0,-0.555555556,4
Everton,Southampton,14-10-2000,1,1,NH,2000,D,0.888888889,1,L,D,L,L,W,W,-0.444444444,-0.111111111,-0.333333333,-2
Ipswich,West Ham,14-10-2000,1,1,NH,2000,D,1.222222222,0.777777778,W,D,W,D,W,D,0.111111111,-0.111111111,0.111111111,9
Leeds,Charlton,14-10-2000,3,1,H,2000,H,1.555555556,1.333333333,W,W,D,D,W,W,0.444444444,0.111111111,-0.111111111,-15
Leicester,Man United,14-10-2000,0,3,NH,2000,A,1.777777778,1.666666667,D,D,W,L,D,W,0.555555556,1.333333333,0.111111111,7
